,0
1623,ARR
1624,AWI
1625,ARW
1626,AROW
1627,ARWR
1628,ARTNA
1629,APAM
1630,ARVN
1631,ABG
1632,ASGN
1633,ASH
1634,ASPN
1635,ASPU
1636,AZPN
1637,AWH
1638,ASMB
1639,AMK
1640,ASB
1641,AC
1642,AIZ
1643,AGO
1644,ASTE
1645,ATRO
1646,ASUR
1647,HOME
1648,T
1649,ATRA
1650,ATH
1651,ATNX
1652,ATHX
1653,ATKR
1654,ACBI
1655,AT
1656,AUB
1657,ATLC
1658,AAWW
1659,TEAM
1660,ATO
1661,ATNI
1662,ATOM
1663,BCEL
1664,BAC
1665,BOH
1666,BMRC
1667,BK
1668,NTB
1669,BPRN
1670,OZK
1671,BSVN
1672,BFIN
1673,BKU
1674,BWFG
1675,BANR
1676,BHB
1677,B
1678,BBSI
1679,BAX
1680,BCML
1681,BBX
1682,BCBP
1683,BECN
1684,BEAM
1685,BZH
1686,BDX
1687,BBBY
1688,BELFB
1689,BDC
1690,BLPH
1691,BRBR
1692,BHE
1693,BNFT
1694,BFYT
1695,WRB
1696,BRK.B
1697,BHLB
1698,BRY
1699,BERY
1700,BBY
1701,XAIR
1702,BYND
1703,BYSI
1704,BGSF
1705,BGCP
1706,BIG
1707,BH.A
1708,BH
1709,BILL
1710,BCRX
1711,BIO
1712,TECH
1713,BDGE
1714,BBIO
1715,BWB
1716,BRID
1717,MNRL
1718,BFAM
1719,BCOV
1720,BHF
1721,BSIG
1722,BV
1723,EAT
1724,BCO
1725,BMY
1726,VTOL
1727,BRX
1728,AVGO
1729,BRMK
1730,BR
1731,BKD
1732,BIPC
1733,BPYU
1734,BRKL
1735,BRKS
1736,BRO
1737,BF.A
1738,BF.B
1739,BRP
1740,BRT
1741,BRKR
1742,BC
1743,BMTC
1744,BKE
1745,BLDR
1746,BG
1747,BURL
1748,BFST
1749,BWXT
1750,BY
1751,CFFI
1752,CHRW
1753,CABA
1754,CABO
1755,CBT
1756,CCMP
1757,COG
1758,CACI
1759,WHD
1760,CADE
1761,CDNS
1762,CRI
1763,CVNA
1764,CASA
1765,CWST
1766,CASY
1767,CASI
1768,CSPR
1769,CASS
1770,SAVA
1771,CSTL
1772,CATB
1773,CTLT
1774,CBIO
1775,CPRX
1776,CATS
1777,CTT
1778,CAT
1779,CATY
1780,CATO
1781,CVCO
1782,CBFV
1783,CBZ
1784,CBOE
1785,CBRE
1786,CBTX
1787,CDK
1788,CDW
1789,CECE
1790,CE
1791,CBMG
1792,CVM
1793,CELH
1794,CNC
1795,CNP
1796,CNTG
1797,CETV
1798,CENT
1799,CENTA
1800,CPF
1801,CVCY
1802,CENX
1803,CNBKA
1804,CNTY
1805,CCS
1806,CTL
1807,CERC
1808,CRNC
1809,CDAY
1810,CERN
1811,CRUS
1812,CSCO
1813,CIT
1814,CTRN
1815,C
1816,CZNC
1817,CFG
1818,CIZN
1819,CIA
1820,CTXS
1821,CHCO
1822,CIO
1823,CIVB
1824,CLAR
1825,CLNE
1826,CLH
1827,CLFD
1828,CLW
1829,CWEN.A
1830,CWEN
1831,CLF
1832,CLPR
1833,CLX
1834,CLDR
1835,NET
1836,CLVS
1837,CME
1838,CMS
1839,CNA
1840,CCNE
1841,CNO
1842,CNX
1843,CCB
1844,KO
1845,COKE
1846,CDXS
1847,CODX
1848,CVLY
1849,CDE
1850,CCOI
1851,CGNX
1852,CTSH
1853,CWBR
1854,CNS
1855,COHR
1856,CHRS
1857,COHU
1858,CFX
1859,CL
1860,CPS
1861,CTB
1862,CPA
1863,CPRT
1864,CRBP
1865,CORT
1866,CORE
1867,CXW
1868,CLGX
1869,CORR
1870,CPLG
1871,COR
1872,CRMD
1873,CNR
1874,CSOD
1875,GLW
1876,OFC
1877,CTVA
1878,CRTX
1879,CRVL
1880,CMRE
1881,CSGP
1882,COST
1883,COTY
1884,ICBK
1885,COUP
1886,CUZ
1887,CVA
1888,CVTI
1889,CVET
1890,COWN
1891,CRAI
1892,CBRL
1893,BREW
1894,CR
1895,CRD.A
1896,CACC
1897,CREE
1898,CRNX
1899,CROX
1900,CCRN
1901,CFB
1902,CRWD
1903,CCI
1904,CCK
1905,CRY
1906,CYRX
1907,CSGS
1908,CSWI
1909,DVN
1910,DXCM
1911,DHX
1912,DHT
1913,DHIL
1914,DSSI
1915,FANG
1916,DRH
1917,DRNA
1918,DKS
1919,DBD
1920,DGII
1921,DMRC
1922,DLR
1923,APPS
1924,DDS
1925,DCOM
1926,DIN
1927,DIOD
1928,DFS
1929,DISCA
1930,DISCK
1931,DISH
1932,DIS
1933,DHC
1934,BOOM
1935,DOCU
1936,DLB
1937,DG
1938,DLTR
1939,D
1940,DPZ
1941,DOMO
1942,UFS
1943,DCI
1944,DGICA
1945,DFIN
1946,LPG
1947,DORM
1948,PLOW
1949,DEI
1950,DOV
1951,DOW
1952,DRQ
1953,DBX
1954,DSPG
1955,DTE
1956,DCO
1957,DUK
1958,EFC
1959,EARN
1960,ELOX
1961,EME
1962,EEX
1963,EBS
1964,EMR
1965,ESRT
1966,EIG
1967,ENTA
1968,EHC
1969,ECPG
1970,WIRE
1971,ENDP
1972,EIGI
1973,ENR
1974,UUUU
1975,ERII
1976,EPAC
1977,ENS
1978,EBF
1979,ENOB
1980,ENVA
1981,ENPH
1982,NPO
1983,ENSG
1984,ESGR
1985,ENTG
1986,ETM
1987,ETR
1988,EBTC
1989,EFSC
1990,EVC
1991,ELA
1992,ENV
1993,NVST
1994,ENZ
1995,EOG
1996,EPAM
1997,EPZM
1998,PLUS
1999,EPR
2000,EQT
2001,EFX
2002,EQIX
2003,EQH
2004,ETRN
2005,EQBK
2006,EQC
2007,EXTN
2008,EXR
2009,EXTR
2010,XOM
2011,EZPW
2012,FFIV
2013,FN
2014,FB
2015,FDS
2016,FICO
2017,FLMN
2018,FARM
2019,FMAO
2020,FMNB
2021,FPI
2022,FARO
2023,FAST
