CIK list from SEC website. ALL 
,0
1232,1241413
1233,1099778
1234,47040
1235,1255353
1236,1003798
1237,1213490
1238,1292858
1239,1248935
1240,1292083
1241,1236313
1242,928162
1243,1176312
1244,946863
1245,1024833
1246,87047
1247,1298536
1248,1275334
1249,1241941
1250,1193296
1251,1195896
1252,1034458
1253,1300457
1254,1248764
1255,1278351
1256,1189555
1257,1021207
1258,1214836
1259,1205701
1260,1188561
1261,1002718
1262,30305
1263,1128465
1264,1193329
1265,1204726
1266,1294381
1267,1161825
1268,1135263
1269,1225707
1270,1030717
1271,1231700
1272,1124817
1273,1196782
1274,1256902
1275,1228387
1276,1014211
1277,1198936
1278,949427
1279,1291003
1280,1248702
1281,1249986
1282,1051966
1283,880794
1284,1267748
1285,1195514
1286,1279435
1287,1080995
1288,872317
1289,1223507
1290,24240
1291,1120075
1292,1279076
1293,1204164
1294,1073310
1295,1101952
1296,1136609
1297,1192253
1298,1302475
1299,1265655
1300,1272344
1301,1013148
1302,1187995
1303,1289988
1304,1196632
1305,1218320
1306,1177107
1307,1198622
1308,1180760
1309,1278572
1310,1262329
1311,1114580
1312,1285517
1313,928400
1314,1301340
1315,1074688
1316,350819
1317,1038630
1318,1303530
1319,1228667
1320,1222398
1321,1244435
1322,1089267
1323,1203845
1324,1051591
1325,872545
1326,892482
1327,1298507
1328,1297126
1329,1211697
1330,1296330
1331,1227081
1332,1274734
1333,1177431
1334,1040508
1335,1177921
1336,1298454
1337,1288638
1338,898581
1339,1140533
1340,350868
1341,863338
1342,1295839
1343,879635
1344,1268452
1345,859921
1346,356395
1347,771497
1348,1028898
1349,1284995
1350,1103636
1351,1201664
1352,1298215
1353,1162827
1354,1238713
1355,1132478
1356,1047862
1357,1188915
1358,1191190
1359,1300858
1360,355323
1361,1250122
1362,1239377
1363,1303154
1364,1039387
1365,1296972
1366,1225052
1367,1265492
1368,1297883
1369,1182078
1370,1297149
1371,1109242
1372,1140686
1373,1258021
1374,1202771
1375,1131340
1376,29322
1377,1258029
1378,1245198
1379,1143674
1380,912595
1381,1003638
1382,97216
1383,1203565
1384,819220
1385,1273601
1386,1292564
1387,790730
1388,1289144
1389,1290759
1390,1301479
1391,1290797
1392,1303998
1393,1295837
1394,1025561
1395,1252314
1396,1259074
1397,1103318
1398,1159464
1399,1234545
1400,1201107
1401,1232440
1402,1246219
1403,1081828
1404,1296292
1405,1287080
1406,1252546
1407,1182689
1408,1042446
1409,1303918
1410,1188596
1411,1297832
1412,846930
1413,777963
1414,1300278
1415,1245414
1416,1298837
1417,1276001
1418,1188470
1419,1204931
1420,1207570
1421,1296653
1422,1300306
1423,1084203
1424,933484
1425,874444
1426,1246547
1427,1192085
1428,1300975
1429,893168
1430,1163300
1431,1250587
1432,1217493
1433,1253528
1434,931683
1435,1135355
1436,1303218
1437,1165961
1438,1251547
1439,1090727
1440,1253565
1441,895730
1442,1202369
1443,1258199
1444,891024
1445,1180552
1446,1189842
1447,1010326
1448,1189638
1449,1192949
1450,872391
1451,1229746
1452,1248326
1453,1232172
1454,1201673
1455,758003
1456,1105356
1457,937367
1458,1294558
1459,314754
1460,947911
1461,1205006
1462,1261136
1463,1229300
1464,1157648
1465,1140192
1466,1227962
1467,1271973
1468,1226580
1469,880799
1470,855906
1471,1261863
1472,1287292
1473,1237578
1474,1178053
1475,1001902
1476,1300595
1477,1024193
1478,1127294
1479,1178579
1480,1012036
1481,1237610
1482,1139187
1483,1219726
1484,1302202
1485,1031145
1486,1183635
1487,1000229
1488,1131166
1489,1264132
1490,1005025
1491,1304570
1492,1302328
1493,1188066
1494,894952
1495,49698
1496,1024022
1497,1296215
1498,859222
1499,317093
1500,920543
1501,777535
1502,1262419
1503,1162301
1504,1140586
1505,1188862
1506,1066134
1507,937136
1508,1181496
1509,1252772
1510,98827
1511,1192589
1512,1279319
1513,1289860
1514,1279256
1515,80255
1516,1241219
1517,1294263
1518,1005778
1519,860540
1520,1301253
1521,1199662
1522,1035086
1523,1122081
1524,1257812
1525,1300364
1526,1181002
1527,94673
1528,1286778
1529,1295734
1530,877014
1531,1223449
1532,809012
1533,1176412
1534,1291818
1535,1256727
1536,1304604
1537,1298231
1538,1165114
1539,1228217
1540,1299889
1541,1219238
1542,1299194
1543,1263534
1544,1301749
1545,936870
1546,1302826
1547,1297762
1548,1007933
1549,1024348
1550,19002
1551,1088223
1552,1226257
1553,902581
1554,1130043
1555,1190761
1556,1301675
1557,814055
1558,1295293
1559,1266529
1560,1134018
1561,1101439
1562,1173039
1563,1054211
1564,1225410
1565,1260376
1566,1299479
1567,1010178
1568,1253437
1569,1202317
1570,1302032
1571,1133421
1572,1088697
1573,1160793
1574,1304644
1575,1252149
1576,1296271
1577,1220408
1578,1262178
1579,1299034
1580,1104800
1581,1296894
1582,1298903
1583,1294514
1584,794367
1585,1267023
1586,1140211
1587,1258447
1588,1209876
1589,1209462
1590,896923
1591,1299584
1592,719866
1593,1229600
1594,826735
1595,1177370
1596,1205181
1597,905079
1598,1229899
1599,1291397
1600,1300054
1601,831460
1602,923601
1603,1199407
1604,1000459
1605,1021333
1606,1033660
1607,1281524
1608,1007124
1609,1043915
1610,1296223
1611,1302271
1612,1228954
1613,1172695
1614,927003
1615,1297990
1616,1301523
1617,1241723
1618,1295976
1619,1200521
1620,1285155
1621,1270859
1622,1262333
1623,1299179
1624,923084
1625,1134892
1626,1090527
1627,202679
1628,1190558
1629,1103340
1630,1301652
1631,1123494
1632,1289100
1633,1113868
1634,1295027
1635,1062111
1636,1196540
1637,1298176
1638,1199700
1639,1034232
1640,1034891
1641,1023025
1642,1281790
1643,1296119
1644,801674
1645,1298796
1646,1276345
1647,1240081
1648,1009289
1649,1220091
1650,732485
1651,1080922
1652,1231486
1653,1269841
1654,1233113
1655,1302560
1656,1300233
1657,1257499
1658,1247897
1659,896952
1660,1185146
1661,1212307
1662,1184258
1663,929675
1664,1271833
1665,1092896
1666,1289298
1667,1288902
1668,1213264
1669,91419
1670,1139197
1671,1007658
1672,1297420
1673,1040662
1674,1298132
1675,1296296
1676,944959
1677,1213379
1678,1173495
1679,1195169
1680,1199595
1681,1298044
1682,1296697
1683,1184000
1684,1190714
1685,1192043
1686,80946
1687,1230996
1688,1292528
1689,1169580
1690,93205
1691,1017538
1692,1011974
1693,932859
1694,1277537
1695,1113260
1696,1259466
1697,894544
1698,1161324
1699,1136986
1700,1114750
1701,352915
1702,1199364
1703,1003806
1704,1234824
1705,1209025
1706,1261252
1707,919489
1708,1299976
1709,881695
1710,1198219
1711,1227843
1712,1224091
1713,1299667
1714,1296164
1715,1300864
1716,1018724
1717,1184658
1718,1037175
1719,918895
1720,1287685
1721,1301937
1722,896881
1723,1297384
1724,1232935
1725,1195819
1726,1167887
1727,1208278
1728,1107446
1729,1303367
1730,1246851
1731,1195601
1732,88565
1733,1216146
1734,1096389
1735,1210454
1736,1184201
1737,1114606
1738,1185494
1739,1296928
1740,1266504
1741,1281770
1742,1131947
1743,1133458
1744,1252404
1745,783401
1746,1211559
1747,1070955
1748,1299703
1749,1057698
1750,1230947
1751,1157167
1752,1232715
1753,937492
1754,1141732
1755,1289555
1756,1302658
1757,930983
1758,787826
1759,1255151
1760,796295
1761,1102556
1762,1123899
1763,1192927
1764,1106145
1765,1196783
1766,1268379
1767,1292238
1768,1300477
1769,1220481
1770,1290677
1771,1199636
1772,1297840
1773,889392
1774,1235050
1775,1205171
1776,1183394
1777,1296790
1778,1034108
1779,1197623
1780,1298240
1781,857668
1782,1208186
1783,1231048
1784,1239301
1785,1049648
1786,1247679
1787,1138538
1788,1182039
1789,66418
1790,1302394
1791,1213468
1792,1233199
1793,1195924
1794,938661
1795,766430
1796,1200116
1797,1298665
1798,1114800
1799,1024838
1800,1214603
1801,1231124
1802,1280434
1803,1293753
1804,1192576
1805,1251537
1806,1184497
1807,1285741
1808,1188473
1809,1074021
1810,1204627
1811,901174
1812,1300057
1813,1166763
1814,1158045
1815,1299628
1816,867051
1817,1298651
1818,1052357
1819,1186862
1820,1201041
1821,1209533
1822,1298706
1823,1291229
1824,1185282
1825,924628
1826,1082518
1827,808461
1828,1134743
1829,932024
1830,1198348
1831,1196699
1832,1014148
1833,1051473
1834,1168823
1835,1214596
1836,1297699
1837,1224069
1838,1296402
1839,1234478
1840,1294224
1841,1187596
1842,1287611
1843,1213555
1844,1166791
1845,1249605
